eventDate,CONML,CONM,With_Twitter_account,twitter_acc_company_name,twitter_account_name,code
28/4/17,Banco Santander Mexico SA,BANCO SANTANDER MEXICO -ADR,Yes,Santander Mxico,@SantanderMx,13576
24/1/17,3M Co,3M CO,Yes,3M,@3M,22592
13/2/14,3M Co,3M CO,Yes,3M,@3M,22592
15/7/15,AAR Corp,AAR CORP,Yes,AAR Corp,@AARCORP,54594
9/2/16,ABAXIS Inc,ABAXIS INC,Yes,Abaxis,@AbaxisVetScan,77279
28/5/14,ABIOMED Inc,ABIOMED INC,Yes,Abiomed,@abiomedimpella,75107
7/11/13,Acacia Research Corp,ACACIA RESEARCH CORP,Yes,Acacia Research Corp,@Acacia_Research,89611
29/10/13,Accenture PLC,ACCENTURE PLC,Yes,Accenture,@Accenture,89071
10/11/16,Adaptimmune Therapeutics plc,ADAPTIMMUNE THERAPEUTICS,Yes,Adaptimmune,@Adaptimmune,15361
6/4/15,Adaptimmune Therapeutics plc,ADAPTIMMUNE THERAPEUTICS,Yes,Adaptimmune,@Adaptimmune,15361
2/11/17,Adient Plc,ADIENT PLC,Yes,Adient,@Adient,16342
29/11/16,Adient Plc,ADIENT PLC,Yes,Adient,@Adient,16342
27/2/14,ADTRAN Inc,ADTRAN INC,Yes,ADTRAN,@ADTRAN,80791
29/11/16,Advanced Drainage Systems In,ADVANCED DRAINAGE SYSTEMS,Yes,"ADS, Inc.",@ADS__Inc,14759
15/9/16,Advanced Drainage Systems In,ADVANCED DRAINAGE SYSTEMS,Yes,"ADS, Inc.",@ADS__Inc,14759
30/6/15,Advanced Drainage Systems In,ADVANCED DRAINAGE SYSTEMS,Yes,"ADS, Inc.",@ADS__Inc,14759
18/3/14,Advanced Emissions Solutions,ADVANCED EMISSIONS SOLUTION,Yes,"ADA-ES, Inc.",@ADAESInc,90400
3/3/14,Advanced Energy Industries I,ADVANCED ENERGY INDS INC,Yes,Advanced Energy,@AdvEnergy,82547
11/3/16,Advisory Board Company (The),ADVISORY BOARD CO,Yes,Advisory Board,@AdvisoryBd,89203
10/2/14,Advisory Board Company (The),ADVISORY BOARD CO,Yes,Advisory Board,@AdvisoryBd,89203
30/5/13,Advisory Board Company (The),ADVISORY BOARD CO,Yes,Advisory Board,@AdvisoryBd,89203
9/8/13,Advisory Board Company (The),ADVISORY BOARD CO,Yes,Advisory Board,@AdvisoryBd,89203
